,year,date,Average_humidity,Average_dewpoint,Average_barometer,Average_windspeed,Average_gustspeed,Average_direction,Rainfall_for_month,Rainfall_for_year,Maximum_rain_per_minute,Maximum_temperature,Minimum_temperature,Minimum_pressure,Maximum_pressure,Maximum_windspeed,Maximum_gust_speed,Maximum_humidity,Minimum_humidity,Maximum_heat_index
62,2001,Average and,35,14.1,29.79,6.7,10.1,240,0,1.382,0,66.6,19.7,83,6,30.36,29.3,25.3,34.5,66.6
63,2001,Apr-01,28,5.3,30.1,7.5,10.7,240,0,1.38,0,58,19.7,72,8,30.364,29.939,20.7,32.2,58
64,2001,Apr-02,25,8.3,29.9,7.4,10.4,235,0,1.38,0,63.8,27,55,8,29.982,29.85,24.2,33.4,63.8
65,2001,Apr-03,36,13.8,30,4.8,6.8,233,0,1.38,0,66.6,23.3,71,6,30.046,29.927,17.3,23,66.6
66,2001,Apr-04,44,21.7,29.9,3.9,5.9,241,0,1.38,0,66.2,25.3,75,15,30.01,29.778,17.3,24.2,66.2
67,2001,Apr-05,41,16.4,29.6,4.4,6.6,219,0,1.38,0,66.2,26.1,83,10,29.787,29.405,18.4,28.8,66.2
68,2001,Apr-06,48,19.3,29.5,7,10.7,253,0,1.38,0,54.1,28.8,68,29,29.765,29.305,21.9,32.2,54.1
69,2001,Apr-07,39,17.4,29.8,10.7,16.3,241,0,1.38,0,49,31.7,52,27,29.834,29.718,25.3,34.5,49
70,2001,Apr-08,23,10.9,29.6,8,12.8,250,0,1.38,0,58.2,34.3,38,15,29.733,29.463,21.9,32.2,58.2
71,2001,Average and,35,14.1,29.79,6.7,10.1,240,0,1.382,0,66.6,19.7,83,6,30.36,29.3,25.3,34.5,66.6
72,2001,Apr-01,28,5.3,30.1,7.5,10.7,240,0,1.38,0,58,19.7,72,8,30.364,29.939,20.7,32.2,58
73,2001,Apr-02,25,8.3,29.9,7.4,10.4,235,0,1.38,0,63.8,27,55,8,29.982,29.85,24.2,33.4,63.8
74,2001,Apr-03,36,13.8,30,4.8,6.8,233,0,1.38,0,66.6,23.3,71,6,30.046,29.927,17.3,23,66.6
75,2001,Apr-04,44,21.7,29.9,3.9,5.9,241,0,1.38,0,66.2,25.3,75,15,30.01,29.778,17.3,24.2,66.2
76,2001,Apr-05,41,16.4,29.6,4.4,6.6,219,0,1.38,0,66.2,26.1,83,10,29.787,29.405,18.4,28.8,66.2
77,2001,Apr-06,48,19.3,29.5,7,10.7,253,0,1.38,0,54.1,28.8,68,29,29.765,29.305,21.9,32.2,54.1
78,2001,Apr-07,39,17.4,29.8,10.7,16.3,241,0,1.38,0,49,31.7,52,27,29.834,29.718,25.3,34.5,49
79,2001,Apr-08,23,10.9,29.6,8,12.8,250,0,1.38,0,58.2,34.3,38,15,29.733,29.463,21.9,32.2,58.2
80,2001,Average and,35,14.1,29.79,6.7,10.1,240,0,1.382,0,66.6,19.7,83,6,30.36,29.3,25.3,34.5,66.6
81,2001,Apr-01,28,5.3,30.1,7.5,10.7,240,0,1.38,0,58,19.7,72,8,30.364,29.939,20.7,32.2,58
82,2001,Apr-02,25,8.3,29.9,7.4,10.4,235,0,1.38,0,63.8,27,55,8,29.982,29.85,24.2,33.4,63.8
83,2001,Apr-03,36,13.8,30,4.8,6.8,233,0,1.38,0,66.6,23.3,71,6,30.046,29.927,17.3,23,66.6
84,2001,Apr-04,44,21.7,29.9,3.9,5.9,241,0,1.38,0,66.2,25.3,75,15,30.01,29.778,17.3,24.2,66.2
85,2001,Apr-05,41,16.4,29.6,4.4,6.6,219,0,1.38,0,66.2,26.1,83,10,29.787,29.405,18.4,28.8,66.2
86,2001,Apr-06,48,19.3,29.5,7,10.7,253,0,1.38,0,54.1,28.8,68,29,29.765,29.305,21.9,32.2,54.1
87,2001,Apr-07,39,17.4,29.8,10.7,16.3,241,0,1.38,0,49,31.7,52,27,29.834,29.718,25.3,34.5,49
88,2001,Apr-08,23,10.9,29.6,8,12.8,250,0,1.38,0,58.2,34.3,38,15,29.733,29.463,21.9,32.2,58.2
89,2001,Average and,35,14.1,29.79,6.7,10.1,240,0,1.382,0,66.6,19.7,83,6,30.36,29.3,25.3,34.5,66.6
90,2001,Apr-01,28,5.3,30.1,7.5,10.7,240,0,1.38,0,58,19.7,72,8,30.364,29.939,20.7,32.2,58
91,2001,Apr-02,25,8.3,29.9,7.4,10.4,235,0,1.38,0,63.8,27,55,8,29.982,29.85,24.2,33.4,63.8
92,2001,Apr-03,36,13.8,30,4.8,6.8,233,0,1.38,0,66.6,23.3,71,6,30.046,29.927,17.3,23,66.6
93,2001,Apr-04,44,21.7,29.9,3.9,5.9,241,0,1.38,0,66.2,25.3,75,15,30.01,29.778,17.3,24.2,66.2
94,2001,Apr-05,41,16.4,29.6,4.4,6.6,219,0,1.38,0,66.2,26.1,83,10,29.787,29.405,18.4,28.8,66.2
95,2001,Apr-06,48,19.3,29.5,7,10.7,253,0,1.38,0,54.1,28.8,68,29,29.765,29.305,21.9,32.2,54.1
96,2001,Apr-07,39,17.4,29.8,10.7,16.3,241,0,1.38,0,49,31.7,52,27,29.834,29.718,25.3,34.5,49
97,2001,Apr-08,23,10.9,29.6,8,12.8,250,0,1.38,0,58.2,34.3,38,15,29.733,29.463,21.9,32.2,58.2
98,2001,Average and,35,14.1,29.79,6.7,10.1,240,0,1.382,0,66.6,19.7,83,6,30.36,29.3,25.3,34.5,66.6
99,2001,Apr-01,28,5.3,30.1,7.5,10.7,240,0,1.38,0,58,19.7,72,8,30.364,29.939,20.7,32.2,58
100,2001,Apr-02,25,8.3,29.9,7.4,10.4,235,0,1.38,0,63.8,27,55,8,29.982,29.85,24.2,33.4,63.8
101,2001,Apr-03,36,13.8,30,4.8,6.8,233,0,1.38,0,66.6,23.3,71,6,30.046,29.927,17.3,23,66.6
102,2001,Apr-04,44,21.7,29.9,3.9,5.9,241,0,1.38,0,66.2,25.3,75,15,30.01,29.778,17.3,24.2,66.2
103,2001,Apr-05,41,16.4,29.6,4.4,6.6,219,0,1.38,0,66.2,26.1,83,10,29.787,29.405,18.4,28.8,66.2
104,2001,Apr-06,48,19.3,29.5,7,10.7,253,0,1.38,0,54.1,28.8,68,29,29.765,29.305,21.9,32.2,54.1
105,2001,Apr-07,39,17.4,29.8,10.7,16.3,241,0,1.38,0,49,31.7,52,27,29.834,29.718,25.3,34.5,49
106,2001,Apr-08,23,10.9,29.6,8,12.8,250,0,1.38,0,58.2,34.3,38,15,29.733,29.463,21.9,32.2,58.2
107,2001,Average and,35,14.1,29.79,6.7,10.1,240,0,1.382,0,66.6,19.7,83,6,30.36,29.3,25.3,34.5,66.6
108,2002,Apr-01,28,5.3,30.1,7.5,10.7,240,0,1.38,0,58,19.7,72,8,30.364,29.939,20.7,32.2,58
109,2002,Apr-02,25,8.3,29.9,7.4,10.4,235,0,1.38,0,63.8,27,55,8,29.982,29.85,24.2,33.4,63.8
110,2002,Apr-03,36,13.8,30,4.8,6.8,233,0,1.38,0,66.6,23.3,71,6,30.046,29.927,17.3,23,66.6
111,2002,Apr-04,44,21.7,29.9,3.9,5.9,241,0,1.38,0,66.2,25.3,75,15,30.01,29.778,17.3,24.2,66.2
112,2002,Apr-05,41,16.4,29.6,4.4,6.6,219,0,1.38,0,66.2,26.1,83,10,29.787,29.405,18.4,28.8,66.2
113,2002,Apr-06,48,19.3,29.5,7,10.7,253,0,1.38,0,54.1,28.8,68,29,29.765,29.305,21.9,32.2,54.1
114,2002,Apr-07,39,17.4,29.8,10.7,16.3,241,0,1.38,0,49,31.7,52,27,29.834,29.718,25.3,34.5,49
115,2002,Apr-08,23,10.9,29.6,8,12.8,250,0,1.38,0,58.2,34.3,38,15,29.733,29.463,21.9,32.2,58.2
116,2002,Average and,35,14.1,29.79,6.7,10.1,240,0,1.382,0,66.6,19.7,83,6,30.36,29.3,25.3,34.5,66.6
117,2002,Apr-01,28,5.3,30.1,7.5,10.7,240,0,1.38,0,58,19.7,72,8,30.364,29.939,20.7,32.2,58
118,2002,Apr-02,25,8.3,29.9,7.4,10.4,235,0,1.38,0,63.8,27,55,8,29.982,29.85,24.2,33.4,63.8
119,2002,Apr-03,36,13.8,30,4.8,6.8,233,0,1.38,0,66.6,23.3,71,6,30.046,29.927,17.3,23,66.6
120,2002,Apr-04,44,21.7,29.9,3.9,5.9,241,0,1.38,0,66.2,25.3,75,15,30.01,29.778,17.3,24.2,66.2
121,2002,Apr-05,41,16.4,29.6,4.4,6.6,219,0,1.38,0,66.2,26.1,83,10,29.787,29.405,18.4,28.8,66.2
122,2002,Apr-06,48,19.3,29.5,7,10.7,253,0,1.38,0,54.1,28.8,68,29,29.765,29.305,21.9,32.2,54.1
123,2002,Apr-07,39,17.4,29.8,10.7,16.3,241,0,1.38,0,49,31.7,52,27,29.834,29.718,25.3,34.5,49
124,2002,Apr-08,23,10.9,29.6,8,12.8,250,0,1.38,0,58.2,34.3,38,15,29.733,29.463,21.9,32.2,58.2
125,2002,Average and,35,14.1,29.79,6.7,10.1,240,0,1.382,0,66.6,19.7,83,6,30.36,29.3,25.3,34.5,66.6
126,2002,Apr-01,28,5.3,30.1,7.5,10.7,240,0,1.38,0,58,19.7,72,8,30.364,29.939,20.7,32.2,58
127,2002,Apr-02,25,8.3,29.9,7.4,10.4,235,0,1.38,0,63.8,27,55,8,29.982,29.85,24.2,33.4,63.8
128,2002,Apr-03,36,13.8,30,4.8,6.8,233,0,1.38,0,66.6,23.3,71,6,30.046,29.927,17.3,23,66.6
129,2002,Apr-04,44,21.7,29.9,3.9,5.9,241,0,1.38,0,66.2,25.3,75,15,30.01,29.778,17.3,24.2,66.2
130,2002,Apr-05,41,16.4,29.6,4.4,6.6,219,0,1.38,0,66.2,26.1,83,10,29.787,29.405,18.4,28.8,66.2
131,2002,Apr-06,48,19.3,29.5,7,10.7,253,0,1.38,0,54.1,28.8,68,29,29.765,29.305,21.9,32.2,54.1
132,2002,Apr-07,39,17.4,29.8,10.7,16.3,241,0,1.38,0,49,31.7,52,27,29.834,29.718,25.3,34.5,49
133,2002,Apr-08,23,10.9,29.6,8,12.8,250,0,1.38,0,58.2,34.3,38,15,29.733,29.463,21.9,32.2,58.2
134,2002,Average and,35,14.1,29.79,6.7,10.1,240,0,1.382,0,66.6,19.7,83,6,30.36,29.3,25.3,34.5,66.6
135,2002,Apr-01,28,5.3,30.1,7.5,10.7,240,0,1.38,0,58,19.7,72,8,30.364,29.939,20.7,32.2,58
136,2002,Apr-02,25,8.3,29.9,7.4,10.4,235,0,1.38,0,63.8,27,55,8,29.982,29.85,24.2,33.4,63.8
137,2002,Apr-03,36,13.8,30,4.8,6.8,233,0,1.38,0,66.6,23.3,71,6,30.046,29.927,17.3,23,66.6
138,2002,Apr-04,44,21.7,29.9,3.9,5.9,241,0,1.38,0,66.2,25.3,75,15,30.01,29.778,17.3,24.2,66.2
139,2002,Apr-05,41,16.4,29.6,4.4,6.6,219,0,1.38,0,66.2,26.1,83,10,29.787,29.405,18.4,28.8,66.2
140,2002,Apr-06,48,19.3,29.5,7,10.7,253,0,1.38,0,54.1,28.8,68,29,29.765,29.305,21.9,32.2,54.1
141,2002,Apr-07,39,17.4,29.8,10.7,16.3,241,0,1.38,0,49,31.7,52,27,29.834,29.718,25.3,34.5,49
142,2002,Apr-08,23,10.9,29.6,8,12.8,250,0,1.38,0,58.2,34.3,38,15,29.733,29.463,21.9,32.2,58.2
143,2002,Average and,35,14.1,29.79,6.7,10.1,240,0,1.382,0,66.6,19.7,83,6,30.36,29.3,25.3,34.5,66.6
144,2002,Apr-01,28,5.3,30.1,7.5,10.7,240,0,1.38,0,58,19.7,72,8,30.364,29.939,20.7,32.2,58
145,2002,Apr-02,25,8.3,29.9,7.4,10.4,235,0,1.38,0,63.8,27,55,8,29.982,29.85,24.2,33.4,63.8
146,2002,Apr-03,36,13.8,30,4.8,6.8,233,0,1.38,0,66.6,23.3,71,6,30.046,29.927,17.3,23,66.6
147,2002,Apr-04,44,21.7,29.9,3.9,5.9,241,0,1.38,0,66.2,25.3,75,15,30.01,29.778,17.3,24.2,66.2
148,2002,Apr-05,41,16.4,29.6,4.4,6.6,219,0,1.38,0,66.2,26.1,83,10,29.787,29.405,18.4,28.8,66.2
149,2002,Apr-06,48,19.3,29.5,7,10.7,253,0,1.38,0,54.1,28.8,68,29,29.765,29.305,21.9,32.2,54.1
150,2002,Apr-07,39,17.4,29.8,10.7,16.3,241,0,1.38,0,49,31.7,52,27,29.834,29.718,25.3,34.5,49
